pokemon,score,type_1,type_2,attack,defense,stamina,stat_product,level,fast_move,charged_move_1,charged_move_2,damage_cm_1,energy_cm_1,dpe_cm_1,damage_cm_2,energy_cm_2,dpe_cm_2,damage_fm,turns_fm,energy_fm,cd_fm,dpt_fm,ept_fm,bulk,is_dual_type
Medicham (XL),95.8,fighting,psychic,107.9,137.0,141,2085050,48.0,Counter,Ice Punch,Psychic,55,-40,1.38,90,-55,1.64,8,1,7,1.0,4.0,3.5,19317.0,True
Deoxys (Defense),93.6,psychic,none,101.7,221.5,97,2184166,23.5,Counter,Psycho Boost,Thunderbolt,70,-35,2.0,90,-55,1.64,8,1,7,1.0,4.0,3.5,21485.5,False
Azumarill (XL),93.5,water,fairy,94.4,133.7,188,2372805,42.0,Bubble,Ice Beam,Hydro Pump,90,-55,1.64,130,-75,1.73,7,2,11,1.5,2.33,3.67,25135.6,True
Stunfisk (Galarian),92.8,ground,steel,102.9,126.7,167,2176261,26.0,Mud Shot,Rock Slide,Earthquake,75,-45,1.67,120,-65,1.85,3,1,9,1.0,1.5,4.5,21158.9,True
Altaria,92.7,dragon,flying,104.1,149.8,137,2136376,28.5,Dragon Breath,Sky Attack,Dragon Pulse,75,-45,1.67,90,-60,1.5,4,0,3,0.5,4.0,3.0,20522.600000000002,True
Sableye (XL),92.7,dark,ghost,121.2,124.5,122,1841934,48.0,Shadow Claw,Foul Play,Return,70,-45,1.56,130,-70,1.86,6,1,8,1.0,3.0,4.0,15189.0,True
Swampert (Shadow),92.0,water,ground,124.0,106.0,137,1800668,19.0,Mud Shot,Hydro Cannon,Sludge Wave,80,-40,2.0,110,-65,1.69,3,1,9,1.0,1.5,4.5,14522.0,True
Scrafty,91.8,dark,fighting,111.7,156.0,114,1987900,24.5,Counter,Foul Play,Power-Up Punch,70,-45,1.56,20,-35,0.57,8,1,7,1.0,4.0,3.5,17784.0,True
Swampert,91.8,water,ground,124.0,106.0,137,1800668,19.0,Mud Shot,Hydro Cannon,Sludge Wave,80,-40,2.0,110,-65,1.69,3,1,9,1.0,1.5,4.5,14522.0,True
Wobbuffet (XL),91.5,psychic,none,63.0,101.7,333,2133829,50.0,Counter,Return,Mirror Coat,130,-70,1.86,60,-55,1.09,8,1,7,1.0,4.0,3.5,33866.1,False
Lickitung (XL),91.3,normal,none,98.3,124.4,186,2274203,50.0,Lick,Body Slam,Power Whip,60,-35,1.71,90,-50,1.8,3,0,3,0.5,3.0,3.0,23138.4,False
Machamp (Shadow),91.2,fighting,none,136.0,95.8,125,1628538,18.0,Counter,Cross Chop,Rock Slide,50,-35,1.43,75,-45,1.67,8,1,7,1.0,4.0,3.5,11975.0,False
Azumarill,91.0,water,fairy,97.4,128.5,184,2302564,38.0,Bubble,Ice Beam,Hydro Pump,90,-55,1.64,130,-75,1.73,7,2,11,1.5,2.33,3.67,23644.0,True
Bastiodon (XL),90.9,rock,steel,81.8,244.5,137,2739618,45.5,Smack Down,Stone Edge,Flamethrower,100,-55,1.82,90,-55,1.64,12,2,8,1.5,4.0,2.67,33496.5,True
Politoed (Shadow),90.5,water,none,116.0,121.0,138,1936695,22.5,Mud Shot,Weather Ball (Water),Earthquake,60,-35,1.71,120,-65,1.85,3,1,9,1.0,1.5,4.5,16698.0,False
Cresselia,90.3,psychic,none,93.8,157.5,161,2378336,19.5,Psycho Cut,Grass Knot,Moonblast,90,-50,1.8,110,-60,1.83,3,1,9,1.0,1.5,4.5,25357.5,False
Jellicent,89.8,water,ghost,108.6,125.7,151,2061200,24.0,Bubble,Bubble Beam,Shadow Ball,25,-40,0.63,100,-55,1.82,7,2,11,1.5,2.33,3.67,18980.7,True
Diggersby (XL),89.7,normal,ground,95.7,140.3,174,2337114,47.0,Mud Shot,Earthquake,Fire Punch,120,-65,1.85,55,-40,1.38,3,1,9,1.0,1.5,4.5,24412.2,True
Hitmontop,89.7,fighting,none,123.3,147.8,100,1822396,26.0,Counter,Close Combat,Stone Edge,100,-45,2.22,100,-55,1.82,8,1,7,1.0,4.0,3.5,14780.000000000002,False
Mew,89.7,psychic,none,120.5,120.5,127,1843005,16.5,Shadow Claw,Wild Charge,Surf,100,-45,2.22,65,-40,1.63,6,1,8,1.0,3.0,4.0,15303.5,False
Politoed,89.7,water,none,116.0,121.0,138,1936695,22.5,Mud Shot,Weather Ball (Water),Earthquake,60,-35,1.71,120,-65,1.85,3,1,9,1.0,1.5,4.5,16698.0,False
Zweilous,89.6,dark,dragon,122.5,109.2,137,1832026,31.0,Dragon Breath,Body Slam,Dark Pulse,60,-35,1.71,80,-50,1.6,4,0,3,0.5,4.0,3.0,14960.4,True
